roc_auc,ap_pcos,ap_control,baseline_ap_pcos,baseline_ap_control,balanced_accuracy,sensitivity,specificity,mcc,brier,log_loss,fold,n_test,variant,model,n
0.814526588845655,0.987925865259127,0.21941605524199626,0.9661654135338346,0.03383458646616541,0.830523130134025,0.8832684824902723,0.7777777777777778,0.34538308617049807,0.10463986191236704,0.41453943151397393,7,266,C3_relaxed,logistic,1331
0.9079118028534371,0.9960621916484664,0.47376011068539803,0.9661654135338346,0.03383458646616541,0.891915261565067,0.8949416342412452,0.8888888888888888,0.4192470115599023,0.09259440935277694,0.3157389342939113,8,266,C3_relaxed,logistic,1331
0.9022913964548206,0.9938354436643848,0.7168226510331773,0.9661654135338346,0.03383458646616541,0.8685689580631215,0.8482490272373541,0.8888888888888888,0.3494343386650805,0.10728476638311799,0.35317238869759815,9,266,C3_relaxed,logistic,1331
1.0,1.0,1.0,0.5,0.5,0.9,0.8,1.0,0.816496580927726,0.051868364102117835,0.19826710188832172,0,10,C4_age_matched,logistic,50
0.8400000000000001,0.81,0.911111111111111,0.5,0.5,0.9,1.0,0.8,0.816496580927726,0.1546229287027189,0.4979962028206721,1,10,C4_age_matched,logistic,50
1.0,1.0,1.0,0.5,0.5,0.9,0.8,1.0,0.816496580927726,0.09291218501150056,0.3131124693916377,2,10,C4_age_matched,logistic,50
0.92,0.9428571428571428,0.9266666666666665,0.5,0.5,0.9,0.8,1.0,0.816496580927726,0.0856281515781145,0.2950884726476825,3,10,C4_age_matched,logistic,50
1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0741750848790547,0.2806886441394466,4,10,C4_age_matched,logistic,50
0.92,0.9266666666666665,0.9428571428571428,0.5,0.5,0.8,0.8,0.8,0.6,0.12759810333462002,0.3800583697298435,5,10,C4_age_matched,logistic,50
0.72,0.7295238095238095,0.8253968253968254,0.5,0.5,0.6000000000000001,0.4,0.8,0.2182178902359924,0.25459746913248105,0.6716670456741077,6,10,C4_age_matched,logistic,50
0.8,0.8583333333333332,0.8261904761904761,0.5,0.5,0.6000000000000001,0.8,0.4,0.2182178902359924,0.18655408320608483,0.5446523650858369,7,10,C4_age_matched,logistic,50
1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.04827767013593327,0.1842716461668525,8,10,C4_age_matched,logistic,50
1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.04573647713405138,0.1792727655662119,9,10,C4_age_matched,logistic,50
