feature,coverage_pcos,coverage_control,delta_coverage,abs_delta_coverage,missing_odds_ratio,fisher_p,fdr_q
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (NEUT)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PCT)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PLCR)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PLT)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RBC)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RDW)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RDWSD)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (WBC)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
Insulina (INSUL),0.578538102643857,0.0,0.578538102643857,0.578538102643857,0.0,3.7643725048381173e-17,1.0380542361826324e-16
Androstendion (ANDRO),0.5303265940902022,0.0,0.5303265940902022,0.5303265940902022,0.0,4.088115868325138e-15,1.0941721882870221e-14
P/c antytyreoglobulinowe (anty-Tg) (ANTYTG2),0.5303265940902022,0.0,0.5303265940902022,0.5303265940902022,0.0,4.088115868325138e-15,1.0941721882870221e-14
Kortyzol po Dexamethasonie [2mg] (KOR2DXM),0.4175738724727838,0.0,0.4175738724727838,0.4175738724727838,0.0,5.576166202462101e-11,1.470814853403047e-10
Kortyzol po Dexamethasonie [1mg] (KORD),0.3110419906687403,0.0,0.3110419906687403,0.3110419906687403,0.0,1.2593857690665628e-07,3.274402999573063e-07
ALAT (ALT),0.20451010886469673,0.0,0.20451010886469673,0.20451010886469673,0.0,7.106566353473478e-05,0.00017963820504613513
ASPAT (AST),0.20451010886469673,0.0,0.20451010886469673,0.20451010886469673,0.0,7.106566353473478e-05,0.00017963820504613513
Androstendion (I31) (ANDRO),0.19828926905132194,0.0,0.19828926905132194,0.19828926905132194,0.0,0.00012761720867892772,0.0003138693510752006
Anty-TG (p/c przeciw tyreoglobulinie) (ATG),0.19751166407465007,0.0,0.19751166407465007,0.19751166407465007,0.0,0.00012611788148797183,0.0003138693510752006
Kortyzol po Dexamethasonie (KORD),0.1780715396578538,0.0,0.1780715396578538,0.1780715396578538,0.0,0.0003686148823339303,0.000860101392112504
Insulina po 75g glukozy (3pkt.) (INSUL_0),0.17262830482115085,0.0,0.17262830482115085,0.17262830482115085,0.0,0.0003605503519404285,0.0008574176160525949
Insulina po 75g glukozy (3pkt.) (INSUL_1),0.171850699844479,0.0,0.171850699844479,0.171850699844479,0.0,0.00036275360679148246,0.0008574176160525949
Insulina po 75g glukozy (3pkt.) (INSUL_2),0.171850699844479,0.0,0.171850699844479,0.171850699844479,0.0,0.00036275360679148246,0.0008574176160525949
17 OH progesteron (L79),0.16485225505443235,0.0,0.16485225505443235,0.16485225505443235,0.0,0.0006022472557219096,0.0013874557030555384
Androstendion (I31),0.1469673405909798,0.0,0.1469673405909798,0.1469673405909798,0.0,0.0016597000919089224,0.0037292026756472084
Wolny testosteron (O41.W),0.1469673405909798,0.0,0.1469673405909798,0.1469673405909798,0.0,0.0016597000919089224,0.0037292026756472084
AMH-anty Mullerian Hormon (AMH),0.11430793157076205,0.0,0.11430793157076205,0.11430793157076205,0.0,0.007074805885583705,0.01570261794117359
Kreatynina (KREAT),0.08786936236391912,0.0,0.08786936236391912,0.08786936236391912,0.0,0.02801205157254239,0.06142401670123754
MDRD GFR (MDRD),0.08087091757387248,0.0,0.08087091757387248,0.08087091757387248,0.0,0.04410462159692354,0.09556001346000101
"Jonogram (Sód, potas, chlorki) (L_CI)",0.06531881804043546,0.0,0.06531881804043546,0.06531881804043546,0.0,0.10959102973102855,0.21446846678545373
"Jonogram (Sód, potas, chlorki) (L_K)",0.06531881804043546,0.0,0.06531881804043546,0.06531881804043546,0.0,0.10959102973102855,0.21446846678545373
"Jonogram (Sód, potas, chlorki) (L_NA)",0.06531881804043546,0.0,0.06531881804043546,0.06531881804043546,0.0,0.10959102973102855,0.21446846678545373
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 0m)",0.0645412130637636,0.0,0.0645412130637636,0.0645412130637636,0.0,0.10867743492573564,0.21446846678545373
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 120m)",0.0645412130637636,0.0,0.0645412130637636,0.0645412130637636,0.0,0.10867743492573564,0.21446846678545373
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 30m)",0.0645412130637636,0.0,0.0645412130637636,0.0645412130637636,0.0,0.10867743492573564,0.21446846678545373
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 60m)",0.0645412130637636,0.0,0.0645412130637636,0.0645412130637636,0.0,0.10867743492573564,0.21446846678545373
Gamma Glutamylotranspeptydaza (GGTP),0.059875583203732506,0.0,0.059875583203732506,0.059875583203732506,0.0,0.10648299568925379,0.21446846678545373
Bilirubina całkowita (TBIL),0.05909797822706065,0.0,0.05909797822706065,0.05909797822706065,0.0,0.10668503122582396,0.21446846678545373
